Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Sugden A.M.","6701749750;","The perils of pests",2019,"Science","365","6459",,"1262","",,,"10.1126/science.365.6459.1261-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084362644&doi=10.1126%2fscience.365.6459.1261-c&partnerID=40&md5=a8255d7c49721c4172db68bc76dc3ba9",,"Sugden, A.M.",[No abstract available],,"carbon; biomass; chestnut; Dutch elm disease; forest; nonhuman; Note; pest organism; priority journal; species invasion; United States",,"carbon, 7440-44-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084362644
"Grocholski B.","35362140600;","A mineral solution for LLSVPs",2019,"Science","365","6459",,"1262","",,,"10.1126/science.365.6459.1261-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084359935&doi=10.1126%2fscience.365.6459.1261-g&partnerID=40&md5=1db81253f09ad816667bb4e37b72afa6",,"Grocholski, B.",[No abstract available],,"calcium; perovskite; silicate; titanium; chemical structure; large low shear velocity; mineralogy; Note; priority journal; recycling; velocity",,"calcium, 7440-70-2, 14092-94-5; perovskite, 12194-71-7, 61027-03-0; silicate, 12627-13-3; titanium, 7440-32-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084359935
"Vinson V.","57204455504;","Catch and release",2019,"Science","365","6459",,"1260","",,,"10.1126/science.365.6459.1260-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084359280&doi=10.1126%2fscience.365.6459.1260-b&partnerID=40&md5=eaf0c86a00740aa2f3b580df5e226b93",,"Vinson, V.",[No abstract available],,"chaperone; heat shock protein 40; heat shock protein 70; binding site; mouse; nonhuman; Note; nuclear magnetic resonance spectroscopy; priority journal; protein binding; protein expression; protein folding; protein interaction; protein secretion",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084359280
"Zahn L.M.","57201563027;","Identifying terminal nematode cells",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084347679&doi=10.1126%2fscience.365.6459.1260-k&partnerID=40&md5=4064b0d273253031ef127209eb8a05f3",,"Zahn, L.M.",[No abstract available],,"Caenorhabditis elegans; cell lineage; cell maturation; development; embryo cell; gene expression; nematode; nonhuman; Note; priority journal; single cell RNA seq; somatic cell",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084347679
"Hines P.J.","7007106302;","Flood-resistance from gene regulation",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084346854&doi=10.1126%2fscience.365.6459.1260-p&partnerID=40&md5=4c36970b1399a93758f557b72fa08f6b",,"Hines, P.J.",[No abstract available],,"biome; chromatin; dryland; flooding; gene control; gene regulatory network; genetic transcription; nonhuman; Note; priority journal; rice; wetland",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084346854
"Ash C.","7006283833;","Livestock antibiotic resistance",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084314255&doi=10.1126%2fscience.365.6459.1260-l&partnerID=40&md5=a0eb78da157bf9f7ba1349e98c6b200d",,"Ash, C.",[No abstract available],,"antibiotic agent; antibiotic resistance; bacterial strain; chicken; livestock; low income country; meat; middle income country; nonhuman; Note; One Health; pig; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084314255
"Mao S.","57204452998;","Tracking nucleic acids in living cells",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1260-h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084309479&doi=10.1126%2fscience.365.6459.1260-h&partnerID=40&md5=7cd02e7aa07e0bab2f1d77fa888eb598",,"Mao, S.",[No abstract available],,"Cas13 protein; CRISPR associated endonuclease Cas9; CRISPR associated protein; DNA; guide RNA; nucleic acid; RNA; unclassified drug; chromosome translocation; CRISPR LiveFISH; CRISPR-CAS9 system; fluorescence in situ hybridization; gene editing; genetic transcription; Note; priority journal; RNA degradation; signal noise ratio",,"CRISPR associated endonuclease Cas9; DNA, 9007-49-2; esterase; RNA, 63231-63-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084309479
"LaMarco K.","57213954091;","How learning to read changes the brain",2019,"Science","365","6459",,"1262C","",,,"10.1126/science.365.6459.1260-r","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084309153&doi=10.1126%2fscience.365.6459.1260-r&partnerID=40&md5=817124b446e228f04e96c9da1f0bd332",,"LaMarco, K.",[No abstract available],,"brain depth stimulation; brain function; brain region; cognition; functional assessment; functional magnetic resonance imaging; literacy; mental capacity; nervous system function; neuroscience; Note; priority journal; visual cortex; visual nervous system",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084309153
"Balasubramani A.","57204190944;","Priming responses to checkpoint blockade",2019,"Science","365","6459",,"1260","1261",,,"10.1126/science.365.6459.1260-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084305607&doi=10.1126%2fscience.365.6459.1260-d&partnerID=40&md5=d7654d5ec8c8b814f347775be7456c3a",,"Balasubramani, A.",[No abstract available],,"retinoic acid inducible protein I; biological model; cancer immunotherapy; gene activation; gene control; gene expression; malignant neoplasm; melanoma cell line; nonhuman; Note; priority journal; RIG I gene; treatment response; tumor cell; tumor immunogenicity",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084305607
"Sugden A.M.","6701749750;","The need to stabilize global climate",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-i","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084299373&doi=10.1126%2fscience.365.6459.1260-i&partnerID=40&md5=4028cb907ff9accb819382dd0eed100e",,"Sugden, A.M.",[No abstract available],,"climate change; environmental impact; global climate; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084299373
"Szuromi P.","57196471264;","An 18-member carbon ring",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084299254&doi=10.1126%2fscience.365.6459.1260-n&partnerID=40&md5=54d7cdc7456a3589ecdbd5e7ec0b7368",,"Szuromi, P.",[No abstract available],,"carbon; carbon monoxide; sodium chloride; chemical bond; chemical reaction; chemical structure; elimination reaction; Note; organic chemistry; precursor; priority journal",,"carbon, 7440-44-0; carbon monoxide, 630-08-0; sodium chloride, 7647-14-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084299254
"Stajic J.","57189019027;","The topology of line nodes",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084288399&doi=10.1126%2fscience.365.6459.1260-m&partnerID=40&md5=189b4d8601cff97a42aff2284ae27960",,"Stajic, J.",[No abstract available],,"scandium; calculation; Note; priority journal",,"scandium, 10361-84-9, 7440-20-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084288399
"Stern P.","7202618089;","A brain pathway for active forgetting",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1260-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084287365&doi=10.1126%2fscience.365.6459.1260-f&partnerID=40&md5=bf45061dee0a7ebc9e7fbd90e9aa6469",,"Stern, P.",[No abstract available],,"melanin concentrating hormone; brain nerve cell; hippocampal slice; hippocampus; in vitro study; memory; memory disorder; mental performance; nonhuman; Note; pharmacogenetics; priority journal; pyramidal nerve cell; REM sleep",,"melanin concentrating hormone, 67382-96-1",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084287365
"Cornwall W.","56612398600;","A new ‘Blob’ menaces Pacific ecosystems",2019,"Science","365","6459",,"1233","",,7,"10.1126/science.365.6459.1233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072346860&doi=10.1126%2fscience.365.6459.1233&partnerID=40&md5=8c4153fc524014cfcfb11524a76a2259",,"Cornwall, W.",[No abstract available],,"surface water; sea water; coastal waters; ecosystem; environmental impact; environmental monitoring; Note; Pacific Ocean; priority journal; sea ice; seashore; water analysis; animal; climate change; coral reef; eutrophication; fishery; heat; Pacific Ocean; Animals; Climate Change; Coral Reefs; Ecosystem; Eutrophication; Fisheries; Hot Temperature; Pacific Ocean; Seawater",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604219","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072346860
"Servick K.","55810927800;","GM mosquito study draws fire",2019,"Science","365","6459",,"1234","",,1,"10.1126/science.365.6459.1234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072340582&doi=10.1126%2fscience.365.6459.1234&partnerID=40&md5=485f1d8644c3aef06f77a135f1179d2b",,"Servick, K.",[No abstract available],,"pesticide; Aedes aegypti; Brazil; Cayman Islands; Cuba; dengue; disease transmission; environmental protection; gene insertion; genetic background; genetic strain; genetic variation; geneticist; human; insecticide resistance; laboratory test; lethal gene; Malaysia; Mexico; nonhuman; Note; priority journal; progeny; sex ratio; sexual maturity; survival factor; transgene; transgenic mosquito; transgenic organism; United States; Zika virus; zoology; Aedes; animal; genetics; hybridization; male; mosquito control; physiology; procedures; transgenic animal; Aedes; Animals; Animals, Genetically Modified; Genes, Lethal; Hybridization, Genetic; Male; Mosquito Control",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604220","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072340582
"Price M.","57194618729;","Face of the mysterious Denisovans emerges",2019,"Science","365","6459",,"1232","",,,"10.1126/science.365.6459.1232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072336185&doi=10.1126%2fscience.365.6459.1232&partnerID=40&md5=77d30742f1ff2b8792ddc9b349e15f45",,"Price, M.",[No abstract available],,"DNA; DNA methylation; epigenetics; extinct species; fossil; gene control; gene expression; Homo neanderthalensis; human; Note; paleoanthropology; priority journal; animal; Asia; classification; evolution; genetic epigenesis; hominid; Homo neanderthalensis; species extinction; Animals; Asia; Biological Evolution; DNA Methylation; Epigenesis, Genetic; Extinction, Biological; Hominidae; Neanderthals",,"DNA, 9007-49-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604218","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072336185
"Mao Y.","57220970515;","What industry can teach academia",2019,"Science","365","6459",,"1342","",,,"10.1126/science.365.6459.1342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072326532&doi=10.1126%2fscience.365.6459.1342&partnerID=40&md5=343a00f7b1117363d31f82ed4a544324","Uppsala University, Sweden","Mao, Y., Uppsala University, Sweden",[No abstract available],,"career; drug industry; drug research; expert system; immunology; job experience; medical research; Note; priority journal; professional development; professional practice; scientist; social life",,,,,,,,,,,,,,,,,"Mao, Y.; Uppsala UniversitySweden",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604243","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85072326532
"Sokol J.","57191276612;","Dust from asteroid breakup veiled and cooled Earth",2019,"Science","365","6459",,"1230","",,,"10.1126/science.365.6459.1230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072319624&doi=10.1126%2fscience.365.6459.1230&partnerID=40&md5=2ca2769032967baaaab666530938f1ed","Boston, United States","Sokol, J., Boston, United States",[No abstract available],,"animal welfare; asteroid; astronomy; biodiversity; climate change; dust; dust exposure; environmental impact; environmental monitoring; historical period; nonhuman; Note; powder; priority journal; space",,,,,,,,,,,,,,,,,"Sokol, J.United States",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604216","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072319624
"Grimm D.","26324030400;","EPA plan to end animal testing splits scientists",2019,"Science","365","6459",,"1231","",,6,"10.1126/science.365.6459.1231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072318155&doi=10.1126%2fscience.365.6459.1231&partnerID=40&md5=3dfa65f5205959b00e349c6f5a1cfc57",,"Grimm, D.",[No abstract available],,"animal welfare; chemical safety; consumer; decision making; diabetes mellitus; endocrinologist; government; health care organization; health care policy; human; malignant neoplasm; medical research; nonhuman; Note; obesity; prediction; priority journal; reproduction; animal; animal experiment; animal testing alternative; government; mammal; toxicology; United States; Animalia; Animal Experimentation; Animal Testing Alternatives; Animals; Mammals; Toxicology; United States; United States Environmental Protection Agency",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604217","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072318155
"Wadman M.","57191750870;","Sickle cell drug raises hopes and doubts",2019,"Science","365","6459",,"1235","",,1,"10.1126/science.365.6459.1235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072311903&doi=10.1126%2fscience.365.6459.1235&partnerID=40&md5=4737f019f98143de4338e49e22e973c2",,"Wadman, M.",[No abstract available],,"voxelotor; benzaldehyde derivative; biological marker; hematologic agent; hemoglobin; pyrazine derivative; pyrazole derivative; voxelotor; causal attribution; drug effect; erythrocyte aggregation; erythrocyte shape; follow up; human; lifespan; Note; priority journal; sickle cell anemia; treatment outcome; treatment planning; chemistry; drug approval; Food and Drug Administration; molecularly targeted therapy; sickle cell anemia; United States; Anemia, Sickle Cell; Benzaldehydes; Biomarkers; Drug Approval; Hematologic Agents; Hemoglobins; Humans; Molecular Targeted Therapy; Pyrazines; Pyrazoles; United States; United States Food and Drug Administration",,"voxelotor, 1446321-46-5; hemoglobin, 9008-02-0; Benzaldehydes; Biomarkers; Hematologic Agents; Hemoglobins; Pyrazines; Pyrazoles; voxelotor",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604221","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072311903
"Brainard J.","57201469949;","New deals could help scientific societies survive open access",2019,"Science","365","6459",,"1229","",,4,"10.1126/science.365.6459.1229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072310023&doi=10.1126%2fscience.365.6459.1229&partnerID=40&md5=510c86eb23be9c10e238fe4333b20b81",,"Brainard, J.",[No abstract available],,"human; medical research; Note; priority journal; publication; society; United Kingdom",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604215","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072310023
